ID,TI,EB
124,-4.277022091,-8.503210959
123,-3.242627543,-8.230178353
539,4.615541001,-8.166825213
578,-3.836826851,-7.939549414
586,-3.983163014,-7.736799019
593,-3.316157267,-7.638678551
121,-3.821503405,-7.602594082
125,-3.058623934,-7.535901597
591,-1.967918177,-7.453350527
502,-3.203487796,-7.436671932
563,-3.185744558,-7.39660339
526,-0.913524952,-7.379142816
567,-3.012763191,-7.365243131
610,-3.388687395,-7.333308592
508,-2.197944375,-7.250623047
569,-3.851026299,-7.240319661
579,-3.327080319,-7.235551804
130,-3.303426121,-7.009833823
118,-2.434801872,-6.925128377
501,-3.027493442,-6.897094116
576,-3.039837122,-6.798497999
554,-2.603564403,-6.711542213
506,-2.818817461,-6.687137052
134,-3.550902743,-6.679551355
650,-2.540554972,-6.659425682
119,-2.200095635,-6.652647294
537,-3.068829328,-6.642620401
570,-2.849466596,-6.613722227
102,-2.930002297,-6.565943545
542,-3.244926575,-6.496611222
559,-1.905724181,-6.482864226
571,-2.580921407,-6.361145601
128,-3.013170692,-6.350689682
101,-2.951297041,-6.34201507
582,-2.806726286,-6.32965872
580,-3.677710525,-6.227354742
510,-3.348299953,-6.066324656
544,-2.928195261,-6.040463012
103,-0.700002772,-6.036112522
572,-2.555654349,-6.000632143
522,-2.690876463,-5.931366424
518,-3.345977101,-5.873305278
111,-3.792050387,-5.872959567
566,-1.479716014,-5.840282116
145,-3.561854043,-5.794119586
108,-3.015515087,-5.775891953
115,-2.970150062,-5.731895101
531,-3.493930529,-5.686892764
594,-2.718626401,-5.662442881
533,-2.920321717,-5.63775579
525,-3.087008848,-5.582043404
556,-3.207925955,-5.581853155
136,-0.475821889,-5.574031162
540,-2.770415815,-5.501095403
583,-1.997422667,-5.478064157
99,-2.772178405,-5.331636773
137,-2.230229963,-5.324044235
126,-2.499072153,-5.119370305
120,-2.423236754,-5.08963894
507,-2.211726636,-5.034033425
673,-3.250136759,-4.927438711
527,-2.144979379,-4.923126634
512,-2.339348336,-4.910298373
112,-4.22031686,-4.864222969
514,-3.17090806,-4.860293839
122,-2.415681853,-4.855590465
504,-2.889101222,-4.820058962
517,-3.091795302,-4.751975763
565,-3.118520755,-4.695749314
133,-0.312921971,-4.652029325
127,-1.711938049,-4.623747261
546,-2.743425569,-4.623678103
135,0.235991709,-4.616996059
109,-2.184995197,-4.607106707
107,-3.263466114,-4.543995895
555,-3.018198408,-4.531429213
534,-3.046519538,-4.434385305
564,-3.638108253,-4.410096552
630,-2.648001592,-4.344722482
575,-1.69772747,-4.29393801
146,-2.934412652,-4.273509206
588,-2.877387389,-4.251383588
577,-3.449667809,-4.197797507
587,-0.29843087,-4.096879465
535,-2.162255008,-4.04970104
541,-2.358793703,-3.800029663
553,-0.892956587,-3.651292766
129,-3.843083977,-3.412829693
116,-1.420839193,-3.388707473
548,-3.120015826,-3.278865963
520,-1.8801726,-3.276515784
574,-2.005734701,-3.261114255
500,-2.853050719,-3.127711345
592,-2.941020005,-3.085285315
110,-2.15187544,-2.861673787
536,-4.456087972,-2.807528956
524,-2.931468084,-2.12536741
104,-1.395377341,-2.088643405
