ID,DurationCI,NumberAdvert,Weight,EB,TI,Location
593,136,11,778,-7.638678551,-3.316157267,A
146,110,7,620,-4.273509206,-2.934412652,A
574,0,0,650,-3.261114255,-2.005734701,S
575,109,8,924,-4.29393801,-1.69772747,S
137,232,22,602,-5.324044235,-2.230229963,A
126,26,3,546,-5.119370305,-2.499072153,A
570,58,5,776,-6.613722227,-2.849466596,S
576,183,13,668,-6.798497999,-3.039837122,S
564,205,15,715,-4.410096552,-3.638108253,S
522,55,9,657,-5.931366424,-2.690876463,S
520,52,6,801,-3.276515784,-1.8801726,S
580,8,1,673,-6.227354742,-3.677710525,S
508,19,2,580,-7.250623047,-2.197944375,S
546,2,1,688,-4.623678103,-2.743425569,S
