ID,PC1,PC2,Sex,Assay,Date,DaysSinceMay15,Time,Temp,Humidity,Observer,DaysSinceEmerge
10,-0.987951726,0.413348618,M,1,5/17/2021,2,847,18.1,67,AMR,1
1,-0.629829238,-0.274922742,M,1,5/17/2021,2,850,18.1,67,AMR,1
2,-0.452964103,-0.416801635,M,1,5/17/2021,2,852,18.1,67,AMR,1
3,0.124432366,-0.70840398,M,1,5/17/2021,2,856,18.1,67,AMR,1
4,-0.42878294,0.525770804,M,1,5/17/2021,2,861,18.1,66,AMR,1
6,-0.116561085,-0.715577289,M,1,5/17/2021,2,867,18.1,66,AMR,1
5,1.980475064,-0.452604195,M,1,5/17/2021,2,869,18.1,66,AMR,1
23,-0.369503981,-0.747865984,M,1,5/17/2021,2,936,18.4,67,AMR,0
14,-0.232079802,-0.673033462,M,1,5/17/2021,2,943,18.5,67,AMR,0
24,-0.40495808,-0.665445722,M,1,5/17/2021,2,949,18.5,67,AMR,0
20,-0.09684617,-0.609938575,M,1,5/17/2021,2,1009,18.8,66,AMR,0
26,0.027423606,-0.177543019,M,1,5/17/2021,2,1012,18.8,66,AMR,0
15,-1.760964909,1.991584884,M,1,5/17/2021,2,1016,18.8,67,AMR,0
57,-1.903372659,2.084616302,M,1,5/18/2021,3,682,18,74,AMR,1
58,-1.764546405,1.855653615,M,1,5/18/2021,3,687,17.9,74,AMR,1
59,-1.825695705,2.033871892,M,1,5/18/2021,3,693,17.9,74,AMR,1
60,-0.131303555,-0.5610911,M,1,5/18/2021,3,698,18,74,AMR,1
61,-1.232143564,0.855999305,M,1,5/18/2021,3,700,18.1,74,AMR,1
62,-0.640804221,0.52236677,M,1,5/18/2021,3,704,18.1,74,AMR,1
52,-0.279680464,-0.694611797,M,1,5/18/2021,3,737,18.4,73,AMR,1
53,-0.155016453,-0.104449819,M,1,5/18/2021,3,739,18.4,73,AMR,1
54,-0.720255234,-0.136837719,M,1,5/18/2021,3,741,18.4,73,AMR,1
55,-1.799803387,2.016957089,M,1,5/18/2021,3,743,18.4,73,AMR,1
56,-1.126603115,1.577172203,M,1,5/18/2021,3,750,18.4,73,AMR,1
69,-0.477465472,-0.275693198,M,1,5/18/2021,3,909,20,74,AMR,1
70,-0.589994047,-0.333867735,M,1,5/18/2021,3,911,20,74,AMR,1
71,-0.694165798,-0.074869312,M,1,5/18/2021,3,912,20.1,74,AMR,1
72,-1.8904265,2.0761589,M,1,5/18/2021,3,914,20.1,73,AMR,1
73,-1.368582154,1.175582838,M,1,5/18/2021,3,920,20.1,73,AMR,1
74,-0.466512741,-0.217005023,M,1,5/18/2021,3,924,20.1,73,AMR,1
80,-1.8904265,2.0761589,M,1,5/18/2021,3,926,20.2,73,AMR,1
81,-1.503224434,1.349137584,M,1,5/18/2021,3,932,20.2,73,AMR,1
82,0.945283981,0.339235128,M,1,5/18/2021,3,936,20.2,73,AMR,1
63,-0.372691241,-0.726030831,M,1,5/18/2021,3,1175,21.9,72,AMR,1
64,-0.357751654,-0.801633809,M,1,5/18/2021,3,1176,21.9,72,AMR,1
65,-1.8904265,2.0761589,M,1,5/18/2021,3,1177,21.9,72,AMR,1
66,-0.306766614,-0.723007417,M,1,5/18/2021,3,1182,21.9,72,AMR,1
67,-0.721251948,-0.103264931,M,1,5/18/2021,3,1184,21.9,72,AMR,1
68,-1.451439797,1.315307978,M,1,5/18/2021,3,1187,21.9,72,AMR,1
78,-0.630639961,0.265522101,M,1,5/18/2021,3,1191,21.9,72,AMR,1
77,-0.278092397,-0.491534952,M,1,5/18/2021,3,1194,21.9,72,AMR,1
79,0.409422731,0.040394081,M,1,5/18/2021,3,1196,21.9,72,AMR,1
76,-0.103626052,-0.296045847,M,1,5/18/2021,3,1200,22,72,AMR,1
97,1.322227525,0.439712051,M,1,5/18/2021,3,1202,22,72,AMR,1
95,1.980475064,-0.452604195,M,1,5/18/2021,3,1207,22,72,AMR,1
93,0.198731516,-0.552129279,M,1,5/18/2021,3,1212,22,72,AMR,1
75,1.123049548,-0.221686165,M,1,5/18/2021,3,1217,21.9,72,AMR,1
96,-0.173723528,-0.671650164,M,1,5/18/2021,3,1222,21.9,72,AMR,1
90,-0.587617509,0.184741954,M,1,5/18/2021,3,1224,21.9,72,AMR,1
94,-1.163251046,1.614282042,M,1,5/18/2021,3,1227,21.9,72,AMR,1
91,-0.386831232,-0.762883853,M,1,5/18/2021,3,1232,21.9,72,AMR,1
92,-1.564570851,1.44847265,M,1,5/18/2021,3,1234,21.9,72,AMR,1
84,2.177594175,0.254682648,M,1,5/18/2021,3,1237,21.9,72,AMR,1
18,-0.98576118,0.425086252,M,1,5/18/2021,3,967,25.3,57,SK,1
17,-0.037690299,-0.721011276,M,1,5/18/2021,3,972,25.4,55,SK,1
13,0.284561603,-0.628651108,M,1,5/18/2021,3,977,25.4,55,SK,1
11,-0.062388785,-0.65878605,M,1,5/18/2021,3,986,25.5,55,SK,1
30,1.579144132,-0.190424744,M,1,5/18/2021,3,995,25.5,54,SK,1
49,-0.256372927,-0.881030657,M,1,5/18/2021,3,1005,25.6,52,SK,1
47,0.076020982,-0.189537472,M,1,5/18/2021,3,1040,26,52,SK,1
45,-1.256064705,1.661746219,M,1,5/18/2021,3,1048,26,52,SK,1
35,-0.495384076,-0.527360699,M,1,5/18/2021,3,1056,26.2,52,SK,1
19,0.483726434,-0.49538723,M,1,5/18/2021,3,1059,26.2,52,SK,1
28,1.309071102,-0.158848096,M,1,5/18/2021,3,1064,26.3,52,SK,1
43,0.384527128,0.023736097,M,1,5/18/2021,3,1075,26.3,51,SK,1
21,-0.319846987,0.876002916,M,1,5/18/2021,3,1084,26.3,51,SK,1
39,0.180598095,-0.718758317,M,1,5/18/2021,3,1105,26,49,SK,1
51,-0.994523364,0.378135713,M,1,5/18/2021,3,1109,26,49,SK,1
29,0.044564866,-0.669397205,M,1,5/18/2021,3,1111,25.9,49,SK,1
42,-0.194479661,0.968239283,M,1,5/18/2021,3,1117,25.9,49,SK,1
31,0.451842704,0.150953145,M,1,5/18/2021,3,1125,26,49,SK,1
37,-0.341618234,-0.831926364,M,1,5/18/2021,3,1130,25.9,49,SK,1
25,-0.04128292,-0.428953702,M,1,5/18/2021,3,1132,26,49,SK,1
46,-0.270118683,-0.760117256,M,1,5/18/2021,3,1136,26,49,SK,1
41,-1.06266079,1.21935235,M,1,5/18/2021,3,1138,26.1,49,SK,1
40,0.737666044,-0.496671323,M,1,5/18/2021,3,1164,25.7,49,SK,1
32,-0.331859336,-0.818548612,M,1,5/18/2021,3,1170,25.8,49,SK,1
27,-0.660541388,1.272705743,M,1,5/18/2021,3,1172,25.8,50,SK,1
36,-0.18268283,-0.797483915,M,1,5/18/2021,3,1180,25.7,49,SK,1
22,0.779089303,-0.352539471,M,1,5/18/2021,3,1182,25.7,50,SK,1
16,0.293126669,-0.66058378,M,1,5/18/2021,3,1187,25.7,50,SK,1
33,-1.469566645,1.412746109,M,1,5/18/2021,3,1204,25.2,51,SK,1
48,-0.207381316,-0.735258689,M,1,5/18/2021,3,1209,25.2,51,SK,1
38,-0.345605091,-0.697635212,M,1,5/18/2021,3,1212,25.2,52,SK,1
12,0.102910014,-0.240025064,M,1,5/18/2021,3,1214,25.2,51,SK,1
111,-1.046417942,2.102663744,M,1,5/19/2021,4,633,20.3,71,AMR,1
110,-0.719061402,-0.091527296,M,1,5/19/2021,4,638,20.3,71,AMR,1
100,-1.8904265,2.0761589,M,1,5/19/2021,4,640,20.2,71,AMR,1
