Row,ID,PC1,Sex,Assay,Date,DaysSinceMay15,Time,Temp,Humidity,DaysSinceEmerge
1,115,0.817033294,M,1,5/22/2021,7,586,23.2,59,4
2,108,0.516327945,M,1,5/22/2021,7,595,24.3,59,4
3,99,2.330140575,M,1,5/22/2021,7,616,24.8,56,4
4,122,2.330140575,M,1,5/22/2021,7,622,24.5,56,4
5,109,-1.61633103,M,1,5/22/2021,7,634,24.1,56,4
8,103,-0.143753364,M,1,5/22/2021,7,703,23.7,59,4
9,125,2.330140575,M,1,5/22/2021,7,709,23.8,59,4
10,116,-3.102215225,M,1,5/22/2021,7,768,24.1,57,4
11,104,-3.460747563,M,1,5/22/2021,7,774,24.2,56,4
12,102,0.631351924,M,1,5/22/2021,7,783,24.2,56,4
13,126,-1.743603951,M,1,5/22/2021,7,790,24.4,56,4
14,119,1.553627142,M,1,5/22/2021,7,797,24.4,56,4
15,112,2.330140575,M,1,5/22/2021,7,803,24.5,55,4
16,130,0.378017541,M,1,5/22/2021,7,810,24.5,55,4
17,133,-2.319558868,M,1,5/22/2021,7,828,24.8,55,4
18,107,2.330140575,M,1,5/22/2021,7,835,24.8,55,4
19,111,1.407255328,M,1,5/22/2021,7,855,24.8,55,4
20,135,-1.35877221,M,1,5/22/2021,7,863,25,55,4
21,127,0.120458721,M,1,5/22/2021,7,869,25,55,4
22,101,-0.50958321,M,1,5/22/2021,7,877,25,54,4
23,110,-2.058673415,M,1,5/22/2021,7,882,25.1,54,4
24,118,0.830439511,M,1,5/22/2021,7,889,25.1,54,4
25,137,-1.368752106,M,1,5/22/2021,7,897,25.1,54,4
26,128,0.117132088,M,1,5/22/2021,7,904,25.2,54,4
27,121,1.169755989,M,1,5/22/2021,7,910,25.3,54,4
28,136,-2.004489404,M,1,5/22/2021,7,915,25.4,54,4
29,146,-2.587097585,M,1,5/22/2021,7,940,25.5,54,4
30,145,-2.550818285,M,1,5/22/2021,7,948,25.5,55,4
31,134,2.330140575,M,1,5/22/2021,7,953,25.6,55,4
32,123,2.330140575,M,1,5/22/2021,7,960,25.8,55,4
33,129,-2.938976658,M,1,5/22/2021,7,966,25.8,54,4
34,124,2.330140575,M,1,5/22/2021,7,973,25.9,55,4
35,120,-0.401312184,M,1,5/22/2021,7,979,25.9,55,4
36,103,-1.104540022,M,2,5/23/2021,8,857,25.4,56,5
37,125,2.330140575,M,2,5/23/2021,8,863,25.4,55,5
38,127,-2.444035467,M,2,5/23/2021,8,869,25.5,55,5
39,102,0.384670805,M,2,5/23/2021,8,875,25.6,55,5
40,145,1.081245378,M,2,5/23/2021,8,881,25.8,55,5
41,146,-1.215179782,M,2,5/23/2021,8,893,25.8,55,5
42,119,-1.338812417,M,2,5/23/2021,8,900,25.8,55,5
43,124,2.330140575,M,2,5/23/2021,8,906,25.9,55,5
44,136,-0.837001305,M,2,5/23/2021,8,912,25.9,55,5
45,101,-1.104540022,M,2,5/23/2021,8,955,25.9,55,5
46,120,-2.148081832,M,2,5/23/2021,8,962,26,55,5
47,107,-2.822858187,M,2,5/23/2021,8,969,26.1,55,5
48,137,-1.362098842,M,2,5/23/2021,8,975,26.1,55,5
49,111,0.007863568,M,2,5/23/2021,8,982,26.2,55,5
50,104,-4.07351209,M,2,5/23/2021,8,988,26.2,55,5
51,110,-3.705957752,M,2,5/23/2021,8,996,26.3,55,5
52,121,0.123785353,M,2,5/23/2021,8,1002,26.4,56,5
53,109,-1.760784358,M,2,5/23/2021,8,1008,26.4,56,5
54,129,-6.15499734,M,2,5/23/2021,8,1015,26.5,56,5
55,99,-1.683624884,M,2,5/23/2021,8,1069,26.5,55,5
56,128,-0.140426732,M,2,5/23/2021,8,1076,26.5,56,5
57,130,-0.1371001,M,2,5/23/2021,8,1082,26.5,56,5
58,134,-2.835851062,M,2,5/23/2021,8,1098,26.4,56,5
59,116,-3.956219065,M,2,5/23/2021,8,1109,26.4,56,5
60,115,-3.216181618,M,2,5/23/2021,8,1115,26.4,56,5
61,135,-2.697737345,M,2,5/23/2021,8,1121,26.5,56,5
62,126,-1.368752106,M,2,5/23/2021,8,1129,26.5,56,5
63,112,-3.171016914,M,2,5/23/2021,8,1135,26.5,56,5
