Row,ID,Sex,Assay,Date,DaysSinceMay15,Time,Temp,Humidity,Leave,Quadrats,Trans,Sides,DaysSinceEmerge
1,115,M,1,5/22/2021,7,586,23.2,59,2,3,2,1,4
2,108,M,1,5/22/2021,7,595,24.3,59,122,4,3,2,4
3,99,M,1,5/22/2021,7,616,24.8,56,300,1,0,1,4
4,122,M,1,5/22/2021,7,622,24.5,56,300,1,0,1,4
5,109,M,1,5/22/2021,7,634,24.1,56,5,9,8,3,4
8,103,M,1,5/22/2021,7,703,23.7,59,2,5,4,2,4
9,125,M,1,5/22/2021,7,709,23.8,59,300,1,0,1,4
10,116,M,1,5/22/2021,7,768,24.1,57,4,13,12,4,4
11,104,M,1,5/22/2021,7,774,24.2,56,2,13,15,4,4
12,102,M,1,5/22/2021,7,783,24.2,56,235,5,4,2,4
13,126,M,1,5/22/2021,7,790,24.4,56,2,9,9,3,4
14,119,M,1,5/22/2021,7,797,24.4,56,145,2,1,1,4
15,112,M,1,5/22/2021,7,803,24.5,55,300,1,0,1,4
16,130,M,1,5/22/2021,7,810,24.5,55,2,3,2,2,4
17,133,M,1,5/22/2021,7,828,24.8,55,4,10,9,4,4
18,107,M,1,5/22/2021,7,835,24.8,55,300,1,0,1,4
19,111,M,1,5/22/2021,7,855,24.8,55,101,2,1,1,4
20,135,M,1,5/22/2021,7,863,25,55,4,8,7,3,4
21,127,M,1,5/22/2021,7,869,25,55,3,4,3,2,4
22,101,M,1,5/22/2021,7,877,25,54,24,5,4,3,4
23,110,M,1,5/22/2021,7,882,25.1,54,4,9,8,4,4
24,118,M,1,5/22/2021,7,889,25.1,54,138,3,2,2,4
25,137,M,1,5/22/2021,7,897,25.1,54,1,8,7,3,4
26,128,M,1,5/22/2021,7,904,25.2,54,2,4,3,2,4
27,121,M,1,5/22/2021,7,910,25.3,54,240,3,2,2,4
28,136,M,1,5/22/2021,7,915,25.4,54,2,10,10,3,4
29,146,M,1,5/22/2021,7,940,25.5,54,2,11,10,4,4
30,145,M,1,5/22/2021,7,948,25.5,55,5,10,11,4,4
31,134,M,1,5/22/2021,7,953,25.6,55,300,1,0,1,4
32,123,M,1,5/22/2021,7,960,25.8,55,300,1,0,1,4
33,129,M,1,5/22/2021,7,966,25.8,54,2,11,13,4,4
34,124,M,1,5/22/2021,7,973,25.9,55,300,1,0,1,4
35,120,M,1,5/22/2021,7,979,25.9,55,3,6,5,2,4
36,103,M,2,5/23/2021,8,857,25.4,56,2,7,6,3,5
37,125,M,2,5/23/2021,8,863,25.4,55,300,1,0,1,5
38,127,M,2,5/23/2021,8,869,25.5,55,3,9,15,3,5
39,102,M,2,5/23/2021,8,875,25.6,55,4,3,2,2,5
40,145,M,2,5/23/2021,8,881,25.8,55,3,2,1,1,5
41,146,M,2,5/23/2021,8,893,25.8,55,4,7,7,3,5
42,119,M,2,5/23/2021,8,900,25.8,55,10,8,7,3,5
43,124,M,2,5/23/2021,8,906,25.9,55,300,1,0,1,5
44,136,M,2,5/23/2021,8,912,25.9,55,4,6,5,3,5
45,101,M,2,5/23/2021,8,955,25.9,55,2,7,6,3,5
46,120,M,2,5/23/2021,8,962,26,55,2,11,10,3,5
47,107,M,2,5/23/2021,8,969,26.1,55,29,10,14,4,5
48,137,M,2,5/23/2021,8,975,26.1,55,3,8,7,3,5
49,111,M,2,5/23/2021,8,982,26.2,55,126,6,5,2,5
50,104,M,2,5/23/2021,8,988,26.2,55,2,14,19,4,5
51,110,M,2,5/23/2021,8,996,26.3,55,25,13,14,5,5
52,121,M,2,5/23/2021,8,1002,26.4,56,4,4,3,2,5
53,109,M,2,5/23/2021,8,1008,26.4,56,40,10,9,3,5
54,129,M,2,5/23/2021,8,1015,26.5,56,5,20,22,6,5
55,99,M,2,5/23/2021,8,1069,26.5,55,152,9,9,4,5
56,128,M,2,5/23/2021,8,1076,26.5,56,3,5,4,2,5
57,130,M,2,5/23/2021,8,1082,26.5,56,4,5,4,2,5
58,134,M,2,5/23/2021,8,1098,26.4,56,33,11,13,4,5
59,116,M,2,5/23/2021,8,1109,26.4,56,2,14,18,4,5
60,115,M,2,5/23/2021,8,1115,26.4,56,5,13,13,4,5
61,135,M,2,5/23/2021,8,1121,26.5,56,4,11,11,4,5
62,126,M,2,5/23/2021,8,1129,26.5,56,1,8,7,3,5
63,112,M,2,5/23/2021,8,1135,26.5,56,97,14,14,4,5
64,133,M,2,5/23/2021,8,1141,26.5,56,111,12,12,5,5
65,122,M,2,5/23/2021,8,1148,26.5,56,3,13,12,3,5
