Row,ID,Sex,Assay,Date,DaysSinceMay15,Time,Temp,Humidity,LatencyToFreeze,TimeFrozen,TimesFlipped,Observer,DaysSinceEmerge
8,7,F,1,5/17/2021,2,876,18.2,66,0,300,0,AMR,1
9,9,F,1,5/17/2021,2,888,18.2,66,0,300,0,AMR,1
10,8,F,1,5/17/2021,2,900,18.2,66,8,79,0,AMR,1
11,309,F,1,5/17/2021,2,915,18.2,69,37,25,0,AMR,0
12,305,F,1,5/17/2021,2,918,18.2,68,5,47,0,AMR,0
13,308,F,1,5/17/2021,2,920,18.2,67,35,74,0,AMR,0
14,310,F,1,5/17/2021,2,923,18.4,67,64,19,0,AMR,0
15,307,F,1,5/17/2021,2,926,18.4,67,6,40,0,AMR,0
16,306,F,1,5/17/2021,2,928,18.5,67,22,278,0,AMR,0
20,301,F,1,5/17/2021,2,960,18.5,66,7,18,0,AMR,0
21,311,F,1,5/17/2021,2,963,18.5,66,14,28,0,AMR,0
22,317,F,1,5/17/2021,2,964,18.5,66,257,42,0,AMR,0
23,302,F,1,5/17/2021,2,970,18.5,66,14,20,0,AMR,0
24,313,F,1,5/17/2021,2,972,18.5,66,190,110,0,AMR,0
25,316,F,1,5/17/2021,2,979,18.6,66,119,46,0,AMR,0
26,303,F,1,5/17/2021,2,982,18.7,66,6,294,0,AMR,0
27,304,F,1,5/17/2021,2,988,18.6,66,38,21,0,AMR,0
28,314,F,1,5/17/2021,2,994,18.6,66,27,13,0,AMR,0
29,300,F,1,5/17/2021,2,999,18.7,66,0,216,0,AMR,0
33,315,F,1,5/17/2021,2,1028,18.9,67,0,300,0,AMR,0
34,312,F,1,5/17/2021,2,1034,18.9,67,0,300,0,AMR,0
35,329,F,1,5/18/2021,3,651,17.9,75,9,15,0,AMR,1
36,325,F,1,5/18/2021,3,653,18,74,177,70,0,AMR,1
37,326,F,1,5/18/2021,3,660,18,74,23,277,0,AMR,1
38,327,F,1,5/18/2021,3,666,18,74,8,115,0,AMR,1
39,328,F,1,5/18/2021,3,669,18,74,28,272,0,AMR,1
40,324,F,1,5/18/2021,3,675,18,74,2,145,0,AMR,1
47,318,F,1,5/18/2021,3,712,18.1,74,56,244,0,AMR,1
48,319,F,1,5/18/2021,3,719,18.2,74,19,58,0,AMR,1
49,320,F,1,5/18/2021,3,722,18.2,74,185,88,0,AMR,1
50,321,F,1,5/18/2021,3,727,18.2,74,29,70,0,AMR,1
